FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
60915,Great Western Gas Co,Eric McDaniel,308-215-8032,Eric McDaniel,,308-215-8032,Doug Davis,,308-215-0131
60922,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
60925,Juliet 10 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60926,Kilo 02 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60927,Kilo 03 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60928,Kilo 04 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60929,Kilo 05 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60930,Kilo 06 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60931,Foxtrot 05 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
60936,Gottula Propane Service,Donald W Gottula,402-877-2830,Donald W Gottula,402-877-2615,402-877-2830,Andrew Gottula,402-788-2615,402-335-7555
60945,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,866-864-2255
60948,Hi-Line Co-op Inc,Jeff D Lundvall,308-352-2800,Stearn Brown,308-287-2113,308-530-9182,Jeremy Hueske,308-386-4519,308-566-0144
60957,Galyen Energy Supply LLC,Mitch Ozenbaugh,402-759-1524,Mitch Ozenbaugh,402-627-2235,402-759-1524,Nicole Mosier,402-627-2235,402-984-1192
60961,Farmers Pride Propane,Dawn Pochop,402-675-1775,Bryan Daum,402-675-2375,402-649-3152,Brent Andersen,402-675-2375,307-660-6122
60971,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Brad Ludemann,402-775-2591,402-336-8437,Mike Nucio,,402-380-1655
60973,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Jason Smallcomb,308-468-5756,308-627-7641,Don Engel,402-694-7891,308-627-7640
60984,Pump & Pantry 29,Dan Schneiderheinz,308-946-3834,Frederick A Bosselman,308-381-6900,308-380-0779,Mike Epp,308-398-6368,402-705-8301
60985,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
60987,Farmers Cooperative,Jamie Sand,402-520-0230,Andy Rocole,402-783-2355,402-366-8441,Chad Bearinger,402-761-2646,402-641-6844
60988,WESTCO Chadron Bulk & Whse,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,Austin Uhrig,308-762-3112,308-249-4210
60994,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,866-864-2255
60996,AT&T NE0270,Andrew Strom,612-615-3259,Andrew Strom,,612-615-3259,Jeremy McGrue,469-295-2319,800-566-9347
60997,Great Western Gas Co,Daniel Chudomelka,402-679-0546,Gaylen R Sprague,402-336-1711,308-383-2278,Jeff Turpin,402-336-1711,402-394-1051
61000,AT&T NE1360,Andrew Strom,612-615-3259,Andrew Strom,,612-615-3259,Jeremy McGrue,469-295-2319,800-566-9347
61013,Hastings Natural Gas,Marty Stange,402-831-1399,Brandan Lubken,402-462-3555,402-984-8277,Marty Stange,402-462-3651,402-831-1399
61014,Hastings Potable Water,Marty Stange,402-831-1399,,,,Marty Stange,402-463-1371,402-831-1399
61019,Central Valley Ag,Doug Eisenmenger,800-535-5053,Kyle Neinhueser,402-542-2131,800-535-5053,Perry Miller,,800-535-5053
61064,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
61083,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
61086,Creston Fertilizer Co Inc,William H Oeltjen,402-920-0248,William H Oeltjen,402-285-0460,402-920-0248,Todd Sebade,402-285-0460,402-270-5089
61141,Farmers Cooperative,Jamie Sand,402-520-0230,Mike Rahe,402-683-2375,402-239-4324,Adam Lovgren,402-223-3221,402-440-5148
61149,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Brian S Urbom,402-845-9282,308-390-1231,James Schafer,308-382-3030,308-380-4227
61164,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Beau Simmons,402-694-4106,402-631-7499,Brent Janda,402-694-4106,402-694-8837
61173,G & G Oil Inc,Donald W Gottula,402-877-2830,Donald W Gottula,402-877-2615,402-335-8176,Andrew Gottula,402-877-2615,402-335-7555
61176,Juliet 11 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61252,MUD Platte River Potable Water,Kris L Thompson,402-504-2091,Kris L Thompson,402-504-7718,402-504-2091,Nick Blake,402-504-7411,402-504-0964
61258,OPPD Elkhorn Service Center,Greg Heine,531-226-5230,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
61334,Great Western Gas Co,Doug Davis,308-215-0131,Doug Davis,,308-215-0131,Lee Nelson,,308-750-1852
61340,Fairfield Non-Stock Co-op Assn,William Nejezchleb,402-469-4924,William Nejezchleb,402-726-2361,402-469-4924,Kurt Wenske,402-726-2361,402-460-0644
61353,Pinnacle Propane Falls City,Forest Gilbert,785-820-7123,Mark Davis,479-787-8258,800-633-8253,Cody Peck,972-974-4325,800-633-8253
61417,CPI Propane Bulk Plant,Weston Brinda,308-991-2185,Weston Brinda,308-425-6211,308-991-2185,Todd Burgess,402-746-2226,402-746-4115
61520,Hotel 10 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61521,NDOT Taylor Yard,Trent J Plugge,308-750-2325,Trent J Plugge,308-346-4250,308-750-2325,Rob P Lowe,402-336-2051,402-340-2254
61623,R & R Service,Ruth Wurdeman,308-230-0241,Ruth Wurdeman,308-682-5296,308-682-5540,Staci Magninie,308-682-5296,308-230-0241
61635,Kilo 01 MAF,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61638,Kilo 11 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61705,Adams Land & Cattle Co South,Lynn French,308-870-6099,Lynn French,308-872-6494,308-870-6099,Barb Miller,308-767-2430,308-643-9354
61721,Golf 01 MAF,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61738,Echo 06 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61739,Kilo 09 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61740,Kilo 10 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
61750,NDOT Wayne Yard,Tom Sievers,402-369-1292,Tom Sievers,402-375-7070,402-369-1292,Jennifer Faling,402-494-6826,402-369-1293
61829,NDOT Wilber Yard,Mark S Bors,402-641-3438,Mark S Bors,402-450-3234,402-641-3438,Todd Cecrle,402-471-0850,
61877,Gavins Point Dam,,,Michael Y Nuss,402-667-7873,,Gavins Project Office,,402-667-2520
62027,Balchem Corporation,,,Joseph Keenan,402-470-5144,402-318-8369,Jess Dennis,402-470-5139,402-610-2024
62059,Jiffy Lube 3411,Lillian Nicholson,972-812-9791,Richard Carver,972-812-7900,425-791-2204,Lillian Nicholson,972-812-7935,972-812-9791
62076,BNSF Railway Company,Robert Schroeder,531-530-9984,Shawn Ball,402-458-7576,402-304-6048,,,
62080,NEBCO Inc Fleet Garage,Mike Wichman,402-434-1882,Doug Pasco,402-434-1882,,,,
62097,Hotel 08 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62171,Ensono Omaha Data Center,Peter W Graham,402-621-9146,Peter W Graham,,402-621-9146,Shawn Oliver,,402-616-4701
62184,OPPD Substation No 35 922 1222,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62193,Harriman Dispatch Center,Thomas G Cappucci,531-205-8861,addressee UPRR RMCC,,888-877-7267,addressee UPRR RMCC,,888-877-7267
62250,Kilo 08 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62252,Kilo 07 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62253,Delta 01 MAF,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62258,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,866-864-2255
62289,Farmers Cooperative East,,,Joshua R McCoy,402-724-2241,402-641-2647,Jacob Zajic,402-629-4275,605-660-7992
62291,Farmers Cooperative Anhydrous,,,Jacob Zajic,402-629-4275,605-660-7992,Mark Nemec,402-946-3421,402-641-7724
62292,Fairfield Non-Stock Co-op Assn,William Nejezchleb,402-469-4924,William Nejezchleb,402-726-2361,402-469-4924,Kurt Wenske,402-726-2361,402-460-0644
62328,OPPD Substation No 1227,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62329,OPPD Substation No 902,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62330,OPPD Substation No 1201,Wade C Hatzenbuehler,531-226-4510,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62331,OPPD Substation 909 1209 3459,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62333,OPPD Substation No 917 1217,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62334,OPPD Substation No 1220,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62335,OPPD Substation No 921 1221,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62336,OPPD Substation No 1229,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62338,OPPD Substation No 1231,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62345,OPPD Substation No 1234,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62346,OPPD Substation No 1235,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62351,OPPD Substation No 1236,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62352,OPPD Substation No 937 1237,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62353,OPPD Substation No 1249,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62354,OPPD Substation No 1250,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62355,OPPD Substation No 1253 3453,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62356,OPPD Substation No 1286,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62373,OPPD Substation No 907,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62374,OPPD Substation No 908,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62378,OPPD Substation No 912,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62379,OPPD Substation No 913,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62380,OPPD Substation No 916/1216,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62382,OPPD Substation No 918,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62383,OPPD Substation No 919,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62385,OPPD Substation No 923,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62386,OPPD Substation No 930,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62388,OPPD Substation No 939,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62389,OPPD Substation No 940,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62390,OPPD Substation No 942,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62391,OPPD Substation No 984,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62393,OPPD Substation No 1226,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62395,OPPD Substation No 914,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62396,2608 Substation No 1214,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62397,OPPD Substation No 983,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62398,OPPD Substation No 988,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62399,OPPD Substation No 992,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62400,OPPD Substation No 1232,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62401,OPPD Substation No 1233,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62402,OPPD Substation No 1244,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62403,OPPD Substation No 1255 3455,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62404,OPPD Substation No 1259,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62405,OPPD Substation No 1278,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62406,OPPD Substation No 1281,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62407,OPPD Substation No 1287,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62409,OPPD Substation No 904,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62411,OPPD Substation No 924,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62412,OPPD Substation No 925,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62413,OPPD Substation No 928,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62414,OPPD Substation No 938,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62460,OPPD Substation No 961,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62461,OPPD Substation No 972,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62462,OPPD Substation No 982,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62463,Substation No 976,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62464,OPPD Substation No 991,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62465,OPPD Substation No 967,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62466,OPPD Substation No 968,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62467,OPPD Substation No 969,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62468,OPPD Substation No 1263,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62469,OPPD Substation No 1280,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62470,OPPD Substation No 963,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62471,OPPD Substation No 973,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62472,OPPD Substation No 970,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62473,OPPD Substation No 977,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62474,OPPD Substation No 966,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62475,OPPD Substation No 964,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
62476,OPPD Substation No 965,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62477,OPPD Substation No 975,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62478,OPPD Substation No 993,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
62502,Ryder Truck Rental Inc 0101,Eric Harvey,800-215-4839,Eric Harvey,800-215-4839,,addressee Ryder Fuel S,800-215-4839,
62504,Cargill Meat Solutions Corp,Roberto Polanco,402-873-8414,Nathan Meyer,402-873-8416,402-218-7886,Justin Meyer,402-873-8443,402-209-6099
62508,Frontier Cooperative,,,Beau Hartman,402-652-8533,402-615-5166,,,
62575,MacroSource LLC,Dreu Davis,307-460-8481,Dreu Davis,402-463-6682,307-460-8481,Wilden Turner,402-463-6682,402-469-6984
62576,WAPA Alliance Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Johnathan Zub,307-421-4691,800-835-0547
62577,Central Valley Ag Ampride/Fuel,Dennis McBride,800-535-5053,Dennis McBride,402-397-2533,800-535-5053,Chris Clingman,785-534-9905,800-535-5053
62579,TransWood Inc,David W Tucker,402-616-6961,Brandon D Woolstrum,402-234-2925,402-968-6432,Robert P Carmichael,402-234-2925,513-205-1131
62586,WAPA Sidney Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Kyle VonBonn,970-842-2372,800-835-0547
62587,Central Valley Ag,Tom M Ortmeier,800-535-5053,Tom M Ortmeier,402-380-8248,800-535-5053,Doug Kaup,402-380-8362,800-535-5053
62588,WAPA Chadron Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Johnathan Zub,307-421-4691,800-835-0547
62592,Batteries Plus,Mary Pelach,605-359-9833,Chris Pelach,402-572-1171,402-302-9858,Mary Pelach,402-572-1171,605-359-9833
62593,Douglas Co Recycling Landfill,Ryle Palmer,402-306-4664,Ryle Palmer,402-238-3461,402-306-4664,Peyton Wayne,402-238-3456,402-253-1052
62595,Prince Agri Products Inc,Gordon Mitchell,217-592-1309,Derrick Clutter,217-592-1459,402-305-0664,addressee Chemtrec Eme,,800-424-9300
62601,Nutrien Ag Solutions,Todd W Probasco,402-366-7194,Todd W Probasco,402-268-3841,402-366-7194,Clinton Greiss,402-268-3841,402-631-7395
62602,Wymore Fertilizer Co,,,,,,Brent Beekman,402-228-9215,402-223-8644
62604,Maverick Fertilizer,Geoff Joy,308-214-0195,Geoff Joy,308-346-4952,308-214-0195,Glen Albers,308-346-4952,308-730-1247
62605,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Brandon Davis,308-785-2022,308-320-8083,Chris Brink,,308-258-4317
62606,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Nathan Mayhew,,308-380-1137,Whitney Ostermeier,308-583-6778,308-258-5316
62609,WAPA Ogallala Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Kyle VonBonn,970-380-7309,800-835-0547
62610,WAPA Kimball Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Johnathan Zub,307-421-4691,800-835-0547
62612,Farmers Pride Madison Fuel,Dawn Pochop,402-675-2375,Bryan Daum,402-675-2375,402-649-3152,Steve Ainsworth,402-454-2999,402-649-9782
62616,WAPA Bridgeport Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Johnathan Zub,307-421-4691,800-835-0547
62617,Progress Rail Services Corp,Tanya Girouard,810-510-3952,Brandi Vigil,,308-764-7408,Jeremy Juardo,,308-262-1727
62623,WAPA Stegall Substation,Kristopher Latimer,970-646-2487,RMR Power Dispatch Center,970-461-7279,800-835-0547,Johnathan Zub,307-421-4691,800-835-0547
62624,Buffalo Air Services Inc,James Holliday,402-694-7713,Sean M Penner,,308-224-6119,Kurt Franklin,,402-604-1874
62637,Union Pacific Railroad Line,Thomas G Cappucci,307-778-3246,addressee UPRR RMCC,,888-877-7267,addressee UPRR RMCC,,888-877-7267
62638,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Clint Einspahr,308-472-3283,308-962-4050,Tiffany Langford,308-472-3283,308-991-7613
62640,Dan's Propane Inc,Dan A Morash,308-530-0211,Dan A Morash,308-636-6858,308-530-0211,Marlena R Kruger,308-660-3668,308-530-0211
62672,Charlie 05 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62673,Charlie 07 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62674,Charlie 06 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62675,Charlie 02 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62676,Bravo 01 MAF,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62677,Charlie 03 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62678,Charlie 04 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62679,Charlie 08 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62680,Charlie 09 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62681,Charlie 10 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62682,Charlie 11 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62737,Echo 03 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62738,Delta 10 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62739,Delta 11 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62740,Delta 07 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62741,Delta 08 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62742,Delta 09 Launch Facility,Douglas McPherson,307-773-2594,Command Post,307-773-4029,307-773-3921,Facility Emergency Coordinator,307-773-4029,307-773-2921
62743,Butler County Landfill Inc,Ryan Boyer,402-649-6776,Ryan Boyer,402-367-4662,402-649-6776,Kelly Danielson,402-367-4662,402-641-8239
62744,LP Gill Inc Landfill,Justin Franks,402-670-4673,Justin Franks,,402-670-4673,Heath Edwardson,402-632-4461,712-223-0951
62756,Frito-Lay Inc,Kelly Marriott,308-537-3471,Brandon Benson,308-537-3471,308-830-1877,Mike Wagner,308-537-3471,308-529-8268
